EN	VI
"hoi an’s fantastic cao lau noodles tick all the flavor boxes when it comes to vietnamese cuisine; they’re sweet, sour, salty, spicy and bitter," said the newspaper.	Tờ báo cho biết: "Món mì cao lầu tuyệt vời của Hội An có đủ các hương vị trong ẩm thực Việt Nam; chúng có vị ngọt, chua, mặn, cay và đắng," theo SCMP.
besides poached noodles, a full bowl includes bean sprouts and herbs from hoi an’s famous tra que village. on top of the dish sits thin slices of barbeque pork and crispy fried pig skin.	Ngoài mì chần, một bát đầy đủ bao gồm giá đỗ và các loại rau thơm từ làng Trà Quế nổi tiếng của Hội An. Bên trên là những lát thịt nướng mỏng và da heo chiên giòn.
the scmp also described bun ca (fried fish cake noodle soup) as a "not-to-be-missed dish" on a food tour of hanoi.	SCMP cũng mô tả bún cá (bún bánh cá chiên) là "món ăn không thể bỏ qua" trong một chuyến khám phá ẩm thực Hà Nội.
the hanoi-style fish noodle soup has a light broth made with fish bones.	Bún cá kiểu Hà Nội có nước dùng thanh đạm được ninh từ xương cá.
ingredients are added to the mix, including tomatoes, wine vinegar and fresh dill.	Các thành phần được thêm vào hỗn hợp, bao gồm cà chua, giấm rượu và thì là tươi.
a bowl of fish noodle soup includes crunchy fried catfish or fishcakes, along with mounds of fresh herbs such as coriander and basil.	Một bát bún cá bao gồm cá trê hoặc chả cá chiên giòn, cùng với các loại rau thơm tươi như rau mùi và húng quế.
the hong kong daily also introduced bun quay, or stirred noodles, a signature dish in the southern tourist island phu quoc.	Tờ nhật báo Hong Kong cũng giới thiệu món bún quậy, hay còn gọi là bún xào, món ăn đặc trưng ở đảo du lịch Phú Quốc.
the noodles originated in the central region where they were only served with ground shrimp. however, the recipe changed after the dish was introduced to phu quoc island in 1995.	Món bún này bắt nguồn từ miền Trung chỉ ăn kèm với tôm đất. Tuy nhiên, công thức đã thay đổi sau khi món ăn được giới thiệu đến đảo Phú Quốc vào năm 1995.
phu quoc locals took the taste to a new level by adding fish, squid and other ingredients.	Người dân địa phương Phú Quốc đã đưa hương vị của nó lên một tầm cao mới bằng cách thêm cá, mực và các nguyên liệu khác.
the noodles are made on site from rice flour.	Loại bún này được làm tại chỗ từ bột gạo.
the cook puts a paste made from ground shrimp, fish and squid into bowls and adds onions and herbs.	Đầu bếp cho hỗn hợp làm từ tôm xay, cá và mực vào bát, thêm hành và rau thơm.
the boiled water that was used to cook the noodles is then poured over the ingredients which is then stirred.	Nước đun sôi đã dùng để nấu bún sau đó được đổ lên trên các nguyên liệu và rồi chúng được xào lên.
the noodles are added last to the dish.	Bún được thêm vào sau cùng.
in november, international food magazine tasteatlas selected vietnamese duck porridge among asia’s 10 must-try duck dishes.	Tháng 11, tạp chí ẩm thực quốc tế TasteAtlas đã chọn cháo vịt Việt Nam vào danh sách 10 món vịt nhất định phải thử của châu Á.
steamed pieces of duck meat are typically the main ingredient in this rice porridge that is served with a fish sauce mixed with sliced hot chilies and minced ginger.	Những miếng thịt vịt hấp là nguyên liệu chính trong món cháo này, ăn kèm với nước mắm pha với những lát ớt thái và gừng băm nhuyễn.
a bowl of duck porridge is also served with shallots, carrots, ginger, green onions, coriander, black pepper, and duck blood pudding.	Một bát cháo vịt còn được ăn kèm với hẹ, cà rốt, gừng, hành lá, rau mùi, hạt tiêu đen và tiết canh vịt.
the dish is usually served with a portion of salad made with thinly shaved banana flowers, vietnamese coriander, carrots and red onions garnished with crushed peanuts.	Món ăn này thường được ăn kèm với một phần xà lách làm từ hoa chuối bào mỏng, rau mùi, cà rốt và hành tím trang trí với đậu phộng giã nhỏ.
a bowl of vietnamese duck porridge costs vnd30,000-50,000. you can try this dish at street-side beer stalls.	Một bát cháo vịt có giá 30.000-50.000 đồng. Bạn có thể thử món ăn này tại các quán bia ven đường.
